Key,화면,string_kr,string_en,string_ch,string_jp
deco.message.4,장식 메시지,건강히 오래오래⭐,Stay healthy!⭐,要一直健健康康的哦！⭐,ずっと元気でいてね⭐
deco.message.5,장식 메시지,늘 행복하자!🍀,Be happy!🍀🦎,要一直幸福哦！🍀,ずっと幸せでいようね！🍀
deco.confirm,장식,장식 완료!,Complete!,装饰完成！,デコレーション完成！
result.success.badge,결과,완벽해!,Perfect!,完美！,パーフェクト！
result.fail.badge,결과,뭔가 아쉬워,Could be better,差一点点,もうちょっとかな
result.success.speech.1,결과 성공,"우와... 이거 완전 내 취향이야! 🥹
영감이 떠오르는데 치크케이크라는 노래 낼까?","“Wow… this is so me! 🥹
I just got an idea… Should I release a song called “Cheese Cake”?","<span class=""result-highlight"">哇……这完全就是我的菜！🥹
突然有灵感了……要不要发一首叫《Cheek Cake》的歌？</span>","<span class=""result-highlight"">わあ…これ、めっちゃ好み！🥹
なんかインスピレーション湧いてきた…「Cheek Cake」って曲、出そうかな？</span>"
result.success.speech.2,결과 성공,반죽에 토핑까지 딱 내가 좋아하는 치즈케이크잖아!,"From the batter to the toppings, this is exactly the kind of cheesecake I love!","<span class=""result-highlight"">从面糊到配料，完全就是我喜欢的芝士蛋糕！</span>","<span class=""result-highlight"">生地からトッピングまで、まさに俺の好きなチーズケーキだ！</span>"
result.success.speech.3,결과 성공,"고마워! 사실 아침에 일어나서 치즈케이크를 
안 먹으면 일상생활이 불가능할 정도야😁","“Honestly, if I don’t have cheesecake for breakfast, I can barely function.”","<span class=""result-highlight"">谢谢！说真的，早上起来要是不吃芝士蛋糕，
我一天都没法正常生活😁</span>","<span class=""result-highlight"">ありがと！実は朝起きてチーズケーキを
食べないと、一日まともに過ごせないくらいなんだ😁</span>"
result.fail.doughAndTopping.speech,결과 실패,"어... <span class=""result-highlight"">반죽</span> 맛이 좀 이상한데?
그리고 <span class=""result-highlight"">딸기</span>는... 줄게 나 <span class=""result-highlight"">딸기</span> 안먹어ㅋㅋ","Uh… the <span class=""result-highlight"">batter</span> tastes a little weird.
And the <span class=""result-highlight"">strawberry</span>… you can have it. I don’t eat <span class=""result-highlight"">strawberries</span>, lol.","<span class=""result-highlight"">呃……面糊的味道有点奇怪。
还有这个草莓……给你吧，我不吃草莓，哈哈。</span>","<span class=""result-highlight"">えっと…生地の味がちょっと変かも。
それと、いちごは…あげる。俺、いちご食べないんだよね、笑。</span>"
result.fail.doughAndTopping.description,결과 실패,"<span class=""result-highlight"">반죽</span>과 <span class=""result-highlight"">토핑</span>, 둘 다 아쉬웠던 것 같아.","The <span class=""result-highlight"">batter</span> and the <span class=""result-highlight"">topping</span> both feel like they’re missing something.",面糊和配料，好像都有点差强人意。,生地もトッピングも、ちょっと惜しい感じかな。
result.fail.dough.speech,결과 실패,"음... 이 <span class=""result-highlight"">반죽</span> 맛이 좀 낯선데?","Hmm… there’s something a little strange about this <span class=""result-highlight"">batter</span>.","<span class=""result-highlight"">嗯……这个面糊的味道有点陌生。</span>","<span class=""result-highlight"">うーん…この生地、ちょっと変わった味がするな。</span>"
result.fail.dough.description,결과 실패,"정성은 느껴지지만 <span class=""result-highlight"">반죽</span>에서 아쉬움이 남았나 봐.","I can tell you put a lot of love into it, but the <span class=""result-highlight"">batter</span> could’ve been better.",能感受到你的用心，不过面糊好像还是差了点什么。,気持ちはすごく伝わるけど、生地はちょっと惜しかったみたい。
result.fail.topping.speech,결과 실패,"리오깅 입맛 어려워 <span class=""result-highlight"">딸기</span> 안머거 🍓😥","Baby Leo doesn’t eat <span class=""result-highlight"">strawberries</span>. 🍓😥","<span class=""result-highlight"">小Leo挑食，不吃草莓。🍓😥</span>","<span class=""result-highlight"">ベビーレオは好き嫌いがあって、いちごは食べないんだ。🍓😥</span>"
result.fail.topping.description,결과 실패,"앗! <span class=""result-highlight"">토핑</span>을 잘못 선택했어. 다른 건 다 좋았는데!","Ah! I picked the wrong <span class=""result-highlight"">topping</span>. Everything else was perfect, though!","<span class=""result-highlight"">啊！配料选错了。其他都很棒来着！</span>","<span class=""result-highlight"">あっ！トッピングを間違えちゃった。ほかは全部よかったのに！</span>"
result.fail.dough.bad,,"어딘가 <span class=""result-highlight"">{ingredients}</span> 맛이 나는 것 같아...","Something tastes a little like <span class=""result-highlight"">{ingredients}</span>...",好像有点{ingredients}的味道……,なんだか{ingredients}の味がする気がする…
result.fail.dough.missing,,"그리고 <span class=""result-highlight"">{ingredients}</span> 빠져서 그런지 맛의 균형이 안 맞아.","Maybe the flavor is off because <span class=""result-highlight"">{ingredients}</span> is missing.",而且可能是少了{ingredients}，味道有点不对劲。,それに{ingredients}が足りないせいか、味のバランスがちょっと変だな。
result.closing.success,결과,선물 대성공! 리오와 케이크를 맛있게 나누어 먹었다!,"A huge success! I shared the cake with Leo, and we both loved it!",礼物大成功！我和Leo一起开心地吃完了蛋糕！,プレゼント大成功！レオと一緒にケーキをおいしく食べた！
result.closing.fail,결과,그래도 착한 리오는 케이크를 맛있게 먹어주었다!,"Even so, sweet Leo still enjoyed the cake!",不过，Leo还是很贴心地把蛋糕吃得津津有味！,それでも優しいレオは、ケーキをおいしく食べてくれた！
result.retry,결과,다시 만들기,Make Another,再做一次,もう一度作る
gameover.fail,게임오버,실패,Failed!,失败！,失敗！
gameover.meringue,게임오버,팔이 빠질 것처럼 저었는데도... 머랭이 다 풀어져버렸어. 😵,Even though my arm was about to fall off… the meringue completely collapsed. 😵,就算手臂都快甩掉了……蛋白霜还是完全消泡了。😵,腕が取れそうなくらい混ぜたのに…メレンゲが全部ダメになっちゃった。😵
gameover.ovenTemperature,게임오버,온도를 잘못 맞춰서 케이크가 새까맣게 타버렸어! 🔥,"I set the temperature wrong, and the cake came out completely burnt! 🔥",温度设错了，蛋糕整个都烤焦了！🔥,温度を間違えて、ケーキが真っ黒に焦げちゃった！🔥
gameover.ovenTemperature.description,게임오버,주방에 연기 냄새가 한가득이야...,The kitchen is filled with smoke…,厨房里全是烟味……,キッチンが煙だらけ…
gameover.ovenTiming,게임오버,케이크가 다 타버렸어ㅠㅠ ⏰,The cake is completely burnt… sob. ⏰,蛋糕全烤焦了……呜呜。⏰,ケーキが全部焦げちゃった…泣。⏰
gameover.ovenTiming.description,게임오버,오븐 앞에서 좀 더 집중해야 했나 봐.,I guess I should’ve paid more attention while the cake was in the oven.,看来我在烤蛋糕的时候应该更专心一点。,オーブンの前でもっと集中しなきゃだったかな。
gameover.retry,게임오버,처음부터 다시,Start Over,从头开始,最初からやり直す
alert.dough.empty,알림,재료를 하나 이상 선택해야 해!,You have to choose at least one ingredient!,至少要选择一种材料！,材料を1つ以上選んでね！
alert.topping.empty,알림,토핑을 하나 선택해야 해!,You have to choose at least one topping!,至少要选择一种配料！,トッピングを1つ選んでね！
